HITId,WorkerId,Image_1,Image_2,Similarity_Rating
3PUOXASB573TN1D05UVYVVG133I9ZK,A1GAN1ZSJ49T1E,https://isabellalv.pythonanywhere.com/mturkImages_celeb/seed112_pos0010.png,https://isabellalv.pythonanywhere.com/mturkImages_celeb/seed112_pos0011.png,9 - extremely similar
3PUOXASB573TN1D05UVYVVG133I9ZK,A1K8Q710ZR2VBC,https://isabellalv.pythonanywhere.com/mturkImages_celeb/seed112_pos0010.png,https://isabellalv.pythonanywhere.com/mturkImages_celeb/seed112_pos0011.png,7 - mostly similar
3PUOXASB573TN1D05UVYVVG133I9ZK,A1YSYI926BBOHW,https://isabellalv.pythonanywhere.com/mturkImages_celeb/seed112_pos0010.png,https://isabellalv.pythonanywhere.com/mturkImages_celeb/seed112_pos0011.png,7 - mostly similar
3PUOXASB573TN1D05UVYVVG133I9ZK,A2GDUYV7FIS9WC,https://isabellalv.pythonanywhere.com/mturkImages_celeb/seed112_pos0010.png,https://isabellalv.pythonanywhere.com/mturkImages_celeb/seed112_pos0011.png,9 - extremely similar
3PUOXASB573TN1D05UVYVVG133I9ZK,A2WX023TSSPBAS,https://isabellalv.pythonanywhere.com/mturkImages_celeb/seed112_pos0010.png,https://isabellalv.pythonanywhere.com/mturkImages_celeb/seed112_pos0011.png,8 - very similar
3PUOXASB573TN1D05UVYVVG133I9ZK,A35TUIBF05DKM4,https://isabellalv.pythonanywhere.com/mturkImages_celeb/seed112_pos0010.png,https://isabellalv.pythonanywhere.com/mturkImages_celeb/seed112_pos0011.png,8 - very similar
3PUOXASB573TN1D05UVYVVG133I9ZK,AMMMVUBUJFSR8,https://isabellalv.pythonanywhere.com/mturkImages_celeb/seed112_pos0010.png,https://isabellalv.pythonanywhere.com/mturkImages_celeb/seed112_pos0011.png,9 - extremely similar
3PUOXASB573TN1D05UVYVVG133I9ZK,AUM7T7HHCVI4B,https://isabellalv.pythonanywhere.com/mturkImages_celeb/seed112_pos0010.png,https://isabellalv.pythonanywhere.com/mturkImages_celeb/seed112_pos0011.png,8 - very similar
3PUOXASB573TN1D05UVYVVG133I9ZK,AY7M9MOLNXIIK,https://isabellalv.pythonanywhere.com/mturkImages_celeb/seed112_pos0010.png,https://isabellalv.pythonanywhere.com/mturkImages_celeb/seed112_pos0011.png,4 - somewhat different
3GONHBMNHVY8ULWUU3Z30HML32OZM8,A1GAN1ZSJ49T1E,https://isabellalv.pythonanywhere.com/mturkImages_celeb/seed112_pos0000.png,https://isabellalv.pythonanywhere.com/mturkImages_celeb/seed112_pos0001.png,8 - very similar
3GONHBMNHVY8ULWUU3Z30HML32OZM8,A1HN33NI2056CH,https://isabellalv.pythonanywhere.com/mturkImages_celeb/seed112_pos0000.png,https://isabellalv.pythonanywhere.com/mturkImages_celeb/seed112_pos0001.png,8 - very similar
3GONHBMNHVY8ULWUU3Z30HML32OZM8,A1RCPWQX6LKUNA,https://isabellalv.pythonanywhere.com/mturkImages_celeb/seed112_pos0000.png,https://isabellalv.pythonanywhere.com/mturkImages_celeb/seed112_pos0001.png,6 - somewhat similar
